cohorte,MOB,bgi_sum,monto_sum,pct_impago
2024-01-01,3,7022.090000000026,12563975.1188,0.055890671014562736
2024-01-01,4,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,5,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,6,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,7,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,8,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,9,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,10,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,11,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,12,132054.87000000002,12563975.1188,1.0510596268405594
2024-01-01,13,242552.92000000004,12563975.1188,1.930542823481543
2024-01-01,14,240938.92000000004,12563975.1188,1.9176965707252402
2024-01-01,15,464758.35000000003,12563975.1188,3.6991345939913773
2024-01-01,16,463930.54480000003,12563975.1188,3.6925458735253414
2024-01-01,17,579591.02,12563975.1188,4.613118177325374
2024-01-01,18,577839.92,12563975.1188,4.599180709418583
2024-01-01,19,576040.5700000001,12563975.1188,4.584859207004052
2024-01-01,20,576040.5700000001,12563975.1188,4.584859207004052
2024-01-01,21,576040.5700000001,12563975.1188,4.584859207004052
2024-01-01,22,567790.5700000001,12563975.1188,4.5191952756289
2024-02-01,1,0.0,12632924.41,0.0
2024-02-01,2,17082.29999999999,12632924.41,0.1352204718843876
2024-02-01,3,17082.29999999999,12632924.41,0.1352204718843876
2024-02-01,4,192455.0,12632924.41,1.523439812935602
2024-02-01,5,192455.0,12632924.41,1.523439812935602
2024-02-01,6,211991.54,12632924.41,1.678087615502482
2024-02-01,7,249788.0718,12632924.41,1.9772782903875539
2024-02-01,8,249788.0718,12632924.41,1.9772782903875539
2024-02-01,9,249788.0718,12632924.41,1.9772782903875539
2024-02-01,10,249788.0718,12632924.41,1.9772782903875539
2024-02-01,11,377347.5618,12632924.41,2.9870166998014995
2024-02-01,12,377347.5618,12632924.41,2.9870166998014995
2024-02-01,13,377347.5618,12632924.41,2.9870166998014995
2024-02-01,14,307847.5618,12632924.41,2.436866966102586
2024-02-01,15,307847.5618,12632924.41,2.436866966102586
2024-02-01,16,307847.5618,12632924.41,2.436866966102586
2024-02-01,17,307847.5618,12632924.41,2.436866966102586
2024-02-01,18,402309.3418,12632924.41,3.1846097446885615
2024-02-01,19,625529.0118,12632924.41,4.951577255578623
2024-02-01,20,625529.0118,12632924.41,4.951577255578623
2024-02-01,21,625529.0118,12632924.41,4.951577255578623
2024-03-01,1,0.0,10101754.0933,0.0
2024-03-01,2,0.0,10101754.0933,0.0
2024-03-01,3,0.0,10101754.0933,0.0
2024-03-01,4,0.0,10101754.0933,0.0
2024-03-01,5,176911.36,10101754.0933,1.7512934720647837
2024-03-01,6,176911.36,10101754.0933,1.7512934720647837
2024-03-01,7,303119.64,10101754.0933,3.0006634214254384
2024-03-01,8,301777.74,10101754.0933,2.987379589849197
2024-03-01,9,301777.74,10101754.0933,2.987379589849197
2024-03-01,10,435910.89,10101754.0933,4.315199973924512
2024-03-01,11,535186.6,10101754.0933,5.297957117714469
